"route_name","route_type","direction","stop_name","stop_number"
"X28","Urban","LLV1 -> DICMS1","Burj Al Arab Hotel 1","34"
"13","Urban","GSBS9 -> QSDH11","Al Nahda, Shabab Alahli Club 1","10"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Medical Centre","38"
"22","Urban","DCCT1 -> AN1T21","","14"
"22","Urban","DCCT1 -> AN1T21","","17"
"22","Urban","DCCT1 -> AN1T21","","20"
"53","Urban","GSBS4 -> ICPM1","","20"
"53","Urban","GSBS4 -> ICPM1","","23"
"53","Urban","GSBS4 -> ICPM1","","26"
"53","Urban","GSBS4 -> ICPM1","Al Badia, Deira International School 1","14"
"53","Urban","ICPM1 -> GSBS4","Etisalat Head Office 2","20"
"53","Urban","ICPM1 -> GSBS4","Maktoum Road 2","19"
"BM2","Marine","DFCS1 -> JWTS1","Al Jaddaf Marine Transport Station 1","1"
"F08","Feeder","NTSPS1 -> DFCFC1","Dubai Carmel School 1","7"
"F25","Feeder","FGBMLS1 -> QCRMT1","Habtoor Equipment Corporation 1","13"
"13","Urban","GSBS9 -> QSDH11","","2"
"22","Urban","DCO1 -> AN1T21","","0"
"22","Urban","DCO1 -> AN1T21","","3"
"53","Urban","GSBS4 -> ICPM1","International City, China 3-1","24"
"53","Urban","GSBS4 -> ICPM1","International City, Rivera Dreams Apartm","20"
"53","Urban","ICPM1 -> GSBS4","Naif Park 2","23"
"BM1","Marine","MWWS1 -> MPWS1","Marina Walk Marine Transport Station 1","0"
"BM2","Marine","JWTS1 -> DFCS1","","0"
"F08","Feeder","NTSPS1 -> DFCFC1","","18"
"F08","Feeder","NTSPS1 -> DFCFC1","","21"
"F08","Feeder","NTSPS1 -> DFCFC1","","24"
"F21","Feeder","ANMS4 -> ANMS4","","2"
"F21","Feeder","ANMS4 -> ANMS4","","5"
"F24","Feeder","QIA3T1 -> SMS2","Al Qusais, Public Transport Depot 2","4"
"F24","Feeder","SMS2 -> QIA3T1","","6"
"F24","Feeder","SMS2 -> QIA3T1","","9"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","30"
"F25","Feeder","FGBMLS1 -> FGBMLS1","7 Up Staff Accommodation 2","25"
"F35","Feeder","MEMS1 -> MEMS1","Al Barsha D-2","26"
"X28","Urban","LLV1 -> DICMS1","Damascus Road 1-1","7"
"X28","Urban","LLV1 -> DICMS1","Umm Suqeim, Dubai Municipality Center 1","31"
